Blackwell Toaster|BOTH|18|200|Household
ZapXpress Microwave Oven|BOTH|18|200|Household
Jimbo After Shave|MALE|18|200|Beauty
Handy Hand Grenade|MALE|20|60|Gardening
DirtDigger Steam Shovel|MALE|20|60|Gardening
U238 Weed Killer|BOTH|20|200|Gardening
Van Hope Cosmetic Set|FEMALE|15|45|Beauty
Persistent Java Fragrance|FEMALE|15|45|Beauty
Rabid Rodent Computer Mouse|BOTH|6|40|Computers
Learn Bad Java Habits in 21 Days Book|BOTH|20|200|Computers
My first Espresso Maker|FEMALE|6|10|Household
JavaJungle Eau de Cologne|FEMALE|20|200|Beauty
Fast/Wide SCSI Coffee Maker|MALE|20|50|Computers
ClueLess Network Computer|BOTH|6|200|Computers
