Blackwell Toaster|BOTH|18|200|Household|toaster.jpg
Japanese Cat|BOTH|18|200|Household|cat.jpg
Jimbo After Shave|MALE|18|200|Beauty|shave.jpg
DirtDigger Digging Dinosaur|MALE|20|60|Gardening|dino.jpg
U238 Weed Killer|BOTH|20|200|Gardening|weed.jpg
Ms Frizzle Curling Iron|FEMALE|15|45|Beauty|curl.jpg
Rabid Rodent Computer Mouse|BOTH|6|40|Computers|rodent.jpg
Learn Bad Java Habits in 21 Days Book|BOTH|20|200|Computers|book.jpg
Fantastic Fan|FEMALE|6|10|Household|fan.jpg
JavaJungle Eau de Cologne|FEMALE|20|200|Beauty|cologne.jpg
Fast/Wide SCSI Coffee Maker|MALE|20|50|Computers|coffee.jpg
ClueLess Network Computer|BOTH|6|200|Computers|computer.jpg
